0,1,2,3,4
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,KJL-OCSVM(linear),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,KJL-OCSVM(linear),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,KJL-OCSVM(linear),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,KJL-OCSVM(linear),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None/res.dat.csv,Nystrom-OCSVM(linear),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-GMM(diag),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-GMM(diag),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-QS-GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-GMM(diag),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,KJL-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
UNB345_3|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
CTU1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/CTU1/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
MAWI1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
MACCDC1|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
SFRIG1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
AECHO1_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
DWSHR_WSHR_2020|speedup/out/kjl_serial_ind_32_threads-cProfile_perf_counter-20times-5/src_dst/iat_size-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag/res.dat.csv,Nystrom-QS-init_GMM(diag),X_train_shape,X_test_shape,iat_size
